Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Valve Δ%,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C)
AHU:AHU-25,AHU,AHU-25,IN_BAND,WARNING,6.00,6.00,5.00,,±5.0,NOT_COOLING,16.5,9.0,Investigate Simultaneous HEAT+COOL,Soğutma (15%) ve ısıtma (11%) vanaları aynı anda açık (Eşik: %5),,SIMUL_HEAT_COOL,Inlet/Outlet (Water),+10.00,+10.00,9.0,15.0,20.0
KOLLEKTOR:SOGUTMA KOLLEKTORU,KOLLEKTOR,SOGUTMA KOLLEKTORU,IN_BAND,OPTIMAL,6.00,,3.00,+3.00,±3.0,NO DATA,,9.0,Normal,Hedef band içinde,,IN_BAND,Inlet/Outlet (Water),,,9.0,15.0,20.0
KOLLEKTOR:ISITMA KOLLEKTORU,KOLLEKTOR,ISITMA KOLLEKTORU,HIGH,OPTIMAL,10.00,,3.00,+7.00,±3.0,NO DATA,,9.0,ΔT Hedef Üstünde - Akış Artır,ΔT (10.0°C) > Hedef (3.0°C),,BAND_HIGH,Inlet/Outlet (Water),,,9.0,15.0,20.0
KAZAN:KAZAN,KAZAN,KAZAN,HIGH,OPTIMAL,23.00,,5.00,+18.00,±3.0,NO DATA,,9.0,ΔT Hedef Üstünde - Akış Artır,ΔT (23.0°C) > Hedef (5.0°C),,BAND_HIGH,Inlet/Outlet (Water),,,9.0,15.0,20.0
AHU:AHU-24,AHU,AHU-24,IN_BAND,WARNING,6.00,1.00,5.00,,±5.0,OPTIMAL,16.0,8.0,Investigate Simultaneous HEAT+COOL,Soğutma (45%) ve ısıtma (10%) vanaları aynı anda açık (Eşik: %5),,SIMUL_HEAT_COOL,Inlet/Outlet (Water),+9.00,+4.00,9.0,15.0,20.0
AHU:AHU-03,AHU,AHU-03,IN_BAND,OPTIMAL,6.00,5.00,5.00,,±5.0,OPTIMAL,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+9.00,+8.00,9.0,15.0,20.0
FCU:FCU-1,FCU,FCU-1,MISSING_DATA,OPTIMAL,,,4.00,,N/A,NO DATA,,0.0,Veri Eksik,ΔT hesaplanamadı - sensör verisi eksik,,MISSING_DATA,,,+7.00,9.0,15.0,20.0
FCU:FCU-2,FCU,FCU-2,MISSING_DATA,OPTIMAL,,,4.00,,N/A,NO DATA,,0.0,Veri Eksik,ΔT hesaplanamadı - sensör verisi eksik,,MISSING_DATA,,,+10.00,9.0,15.0,20.0
FCU:FCU-3,FCU,FCU-3,MISSING_DATA,OPTIMAL,,,4.00,,N/A,NO DATA,,0.0,Veri Eksik,ΔT hesaplanamadı - sensör verisi eksik,,MISSING_DATA,,,+8.00,9.0,15.0,20.0
CHILLER:CHILLER-1,CHILLER,CHILLER-1,IN_BAND,OPTIMAL,3.00,,3.00,+0.00,±3.0,NO DATA,,0.0,Normal,Hedef band içinde,,IN_BAND,Inlet/Outlet (Water),,,9.0,15.0,20.0
