Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Valve Δ%,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C)
kollektor:sogutma kollektor,kollektor,sogutma kollektor,HIGH,WARNING,7.00,,3.00,+4.00,±1.0,NO DATA,,9.0,ΔT Hedef Üstünde - Akış Artır,ΔT (7.0°C) > Hedef (3.0°C),,BAND_HIGH,Inlet/Outlet (Water),,,14.0,7.0,20.0
kollektor:ısıtma kollektor,kollektor,ısıtma kollektor,HIGH,WARNING,10.00,,3.00,+7.00,±1.0,NO DATA,,9.0,ΔT Hedef Üstünde - Akış Artır,ΔT (10.0°C) > Hedef (3.0°C),,BAND_HIGH,Inlet/Outlet (Water),,,14.0,7.0,20.0
CHILLER:CHILLER-1,CHILLER,CHILLER-1,HIGH,WARNING,7.00,,3.00,+4.00,±1.0,NO DATA,,9.0,ΔT Hedef Üstünde - Akış Artır,ΔT (7.0°C) > Hedef (3.0°C),,BAND_HIGH,Inlet/Outlet (Water),,,14.0,7.0,20.0
AHU:AHU-2,AHU,AHU-2,IN_BAND,WARNING,10.00,10.00,10.00,,±1.0,WARNING,29.5,5.0,UYARI: SAT Yüksek,Üfleme (32.0°C) > 31.0°C. Aşırı ısıtma.,,SAT_HIGH,Inlet/Outlet (Water),+28.00,+28.00,14.0,7.0,20.0
AHU:AHU-1,AHU,AHU-1,IN_BAND,OPTIMAL,7.00,8.00,5.00,,±3.0,OPTIMAL,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+2.00,+17.00,14.0,7.0,20.0
AHU:AHU-3,AHU,AHU-3,STANDBY,OPTIMAL,,,5.00,,,STANDBY,,0.0,Bekleme Modu,"Sistem AUTO modda, vanalar kapalı. Ekipman talep bekliyor.",,STANDBY,,,,14.0,7.0,20.0
AHU:AHU-10,AHU,AHU-10,IN_BAND,OPTIMAL,7.00,10.00,5.00,,±3.0,OPTIMAL,,0.0,Normal,,,NORMAL,Inlet/Outlet (Water),+1.00,+18.00,14.0,7.0,20.0
KAZAN:KAZAN-1,KAZAN,KAZAN-1,IN_BAND,OPTIMAL,5.00,,5.00,+0.00,±1.0,NO DATA,,0.0,Normal,Hedef band içinde,,IN_BAND,Inlet/Outlet (Water),,,14.0,7.0,20.0
