Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C),Tekrar (Bu Ay)
AHU:Ahu-19,AHU,Ahu-19,LOW,WARNING,2.18,,6.47,-4.29,,WARNING,,9.2,Investigate Low-ΔT Syndrome,Vana yüksek ama ΔT düşük: coil kirliliği / bypass / sensör kontrol.,LOW_DT_SYNDROME,Inlet/Outlet (Water),+2.68,,7.06,9.24,24.7,
AHU:Ahu-5,AHU,Ahu-5,LOW,CRITICAL,3.70,3.70,8.00,-4.30,,WARNING,20.8,9.2,KRİTİK: Soğutma Etkisi Düşük (Üfleme Sıcak),Cool valve yüksek (%100) ama üfleme 22.8°C. Giren su 7.1°C → Approach 15.7°C (limit ~10.0°C). Setpoint zinciri: AHU SAT setpoint ↓ → Kolektör/Transfer gidiş seti ↓ → Chiller seti ↓.,COOL_EFF_LOW,Supply/Return (Air),+15.74,+17.26,7.06,9.24,24.7,
AHU:Ahu-16,AHU,Ahu-16,LOW,WARNING,2.18,,6.47,-4.29,,OPTIMAL,15.0,7.2,Investigate Low-ΔT Syndrome,Vana yüksek ama ΔT düşük: coil kirliliği / bypass / sensör kontrol.,LOW_DT_SYNDROME,Inlet/Outlet (Water),+7.74,,7.06,9.24,24.7,
AHU:Ahu-17,AHU,Ahu-17,LOW,WARNING,2.18,,6.47,-4.29,,OPTIMAL,15.0,7.2,Investigate Low-ΔT Syndrome,Vana yüksek ama ΔT düşük: coil kirliliği / bypass / sensör kontrol.,LOW_DT_SYNDROME,Inlet/Outlet (Water),+7.92,,7.06,9.24,24.7,
Collector:Sogutma Kollektoru,Collector,Sogutma Kollektoru,LOW,WARNING,2.18,,10.00,-7.82,±1.0,NO DATA,,6.0,ΔT Hedef Altında - Akış Azalt,ΔT (2.2°C) < Hedef (10.0°C),BAND_LOW,Inlet/Outlet (Water),,,7.06,9.24,24.7,
