Asset,Type,Name,Status,Severity,Su ΔT (°C),Hava ΔT (°C),Target ΔT (°C),ΔT Dev (°C),Band,SAT Status,Recommended SAT (°C),Score,Action,Reason,Rule,DT Source,Approach_Supply (°C),Approach_Return (°C),Plant Supply (°C),Plant Return (°C),OAT (°C)
SISTEM:Chiller-Yuk-Analizi,CHILLER,Chiller Yük/COP Analizi,SEASONAL_CHILLER_TRANSITION,WARNING,,,,,Mevsimsel Chiller Geçiş Uyarısı,,,8.0,Free-Cooling Potansiyelini Artırın,"Dış hava (7.0°C) serbest soğutma için çok uygun ancak Chiller 85.0% kapasite ve 2.10 COP ile zorlanarak çalışıyor! Free-Cooling potansiyelini artırın. Eğer sistem hala bu yüksek yükte çalışmaya devam ederse, 2. Chiller'i devreye almak için ana kollektör setini düşürmeniz gerekebilir.",SEASONAL_CHILLER_TRANSITION,,,,,,7.0
FCU:FCU-1,FCU,FCU-1,MISSING_DATA,CRITICAL,,,,,,,,0,Hata,Analiz hatası: 'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>,,,,,,,
